,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
0,37,31,6,0,0,330,66,61,0,0,0,0,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,8.92,330.0,83.78,0,1
1,148,73,74,1,212365,550,515,1998,0,2,0,13,2078,0,5,0,6,25,20,55.56,1,0,9,0,38,49,56,38,40,20,40,31,42,32,23,38,1.07,3.72,0.16,49.32,412,1
2,121,73,21,0,0,849,274,158,0,0,0,0,167,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,7.02,849.0,60.33,0,1
3,99,64,35,0,0,767,398,179,0,0,0,0,152,0,0,0,0,0,0,0.0,0,0,0,0,0,95,5,0,26,185,23,25,240,149,2,109,1.93,7.75,767.0,64.65,0,1
4,79,79,0,0,0,961,21,169,0,0,0,0,207,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76,12.16,961.0,100.0,0,1
5,227,136,84,0,330428,845,731,285,0,0,0,0,306,0,0,0,0,0,0,0.0,0,0,0,0,14,55,38,14,19,64,67,14,33,23,56,60,1.16,3.72,0.15,59.91,452,1
6,649,381,245,0,0,3604,2451,1000,0,0,0,0,1155,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,5.55,3604.0,58.71,0,1
7,22,22,0,0,0,177,19,43,0,0,0,0,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,8.05,177.0,100.0,0,1
8,44,37,7,0,0,395,100,105,0,0,0,0,97,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,8.98,395.0,84.09,0,1
9,383,187,195,0,515640,1174,1183,380,0,0,0,0,420,0,0,0,0,0,0,0.0,0,0,0,0,221,498,210,221,274,194,284,161,558,307,142,234,0.99,3.07,0.14,48.83,435,1
10,197,125,65,7,305252,1077,764,297,0,9,3,59,362,0,4,0,59,88,54,61.97,12,17427,13,3,1,87,6,1,7,7,36,30,1,30,27,68,1.41,5.47,0.21,63.45,399,1
11,233,156,77,0,0,1452,990,393,0,0,0,0,471,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6.23,1452.0,66.95,0,1
12,159,78,58,23,189892,786,533,201,0,0,0,0,223,0,0,0,0,0,0,0.0,0,0,0,0,88,172,167,88,108,134,206,119,60,80,222,59,1.47,4.94,0.25,49.06,356,1
13,294,149,119,0,0,1375,1069,356,0,0,0,0,427,0,0,0,0,0,0,0.0,0,0,0,0,10,134,44,10,30,83,107,59,50,94,100,118,1.29,4.68,1375.0,50.68,0,1
14,60,42,18,0,0,273,152,92,0,0,0,0,79,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.55,273.0,70.0,0,1
15,35,26,9,0,0,204,128,45,0,0,0,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,5.83,204.0,74.29,0,1
16,140,88,52,0,0,655,490,560,0,0,0,0,521,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,4.68,655.0,62.86,0,1
17,156,123,33,0,0,763,537,269,0,0,0,0,262,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,4.89,763.0,78.85,0,1
18,61,52,9,0,0,449,115,122,0,0,0,0,122,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,7.36,449.0,85.25,0,1
19,567,275,248,38,804665,1900,1762,636,0,0,0,3,682,0,2,0,2,6,5,54.55,0,0,4,0,140,274,196,140,184,267,142,187,272,223,128,376,1.08,3.35,0.14,48.5,456,1
20,74,40,34,0,0,313,258,98,0,0,0,0,98,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,4.23,313.0,54.05,0,1
21,172,106,24,42,165360,867,288,241,0,0,0,0,205,0,0,0,0,0,0,0.0,0,0,0,0,29,117,123,29,142,91,195,175,58,28,88,113,3.01,5.04,0.31,61.63,574,1
22,170,122,48,0,0,1094,629,340,0,0,0,0,363,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,6.44,1094.0,71.76,0,1
23,474,270,170,0,733365,2205,1859,771,0,0,0,0,862,0,0,0,0,0,0,0.0,0,0,0,0,4,73,66,4,38,146,68,66,22,123,68,101,1.19,4.65,0.18,56.96,394,1
24,44,34,10,0,76111,316,156,61,0,0,0,0,65,0,0,0,0,0,0,0.0,0,0,0,0,28,51,25,28,129,33,36,46,37,40,25,39,2.03,7.18,0.25,77.27,487,1
25,139,89,48,0,0,741,553,225,0,0,0,0,257,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,5.33,741.0,64.03,0,1
26,5692,3115,2577,0,0,25933,23483,8187,0,0,0,0,9604,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4.56,25933.0,54.73,0,1
27,305,170,94,0,0,1833,1048,409,0,0,0,0,495,0,0,0,0,0,0,0.0,0,0,0,0,0,8,3,0,0,7,2,8,3,5,6,5,1.75,6.01,1833.0,55.74,0,1
28,69,54,14,1,83192,445,204,103,0,0,0,0,109,0,0,0,0,0,0,0.0,0,0,0,0,36,109,26,36,29,34,31,72,21,72,16,135,2.18,6.45,0.32,78.26,407,1
29,366,207,149,0,1835060,2007,1633,576,0,0,0,0,692,0,0,0,0,0,0,0.0,0,0,0,0,0,4,1,0,0,3,3,1,1,2,2,3,1.23,5.48,0.07,56.56,1123,1
30,234,146,88,0,0,1058,727,422,0,0,0,0,386,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,4.52,1058.0,62.39,0,1
31,304,178,123,0,0,1037,813,404,0,0,0,0,410,0,0,0,0,0,0,0.0,0,0,0,0,40,51,76,40,25,61,43,54,47,26,46,54,1.28,3.41,1037.0,58.55,0,1
